scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan25		go	microwave	go	microwave	True
FloorPlan25		pick	potato	open	fridge	False
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		put	potato	put	sinkbasin	False
FloorPlan25		go	countertop	put	sinkbasin	False
FloorPlan25		pick	knife	put	sinkbasin	False
FloorPlan25		go	potato	put	sinkbasin	False
FloorPlan25		slice	potato	slice	bread	False
FloorPlan25		go	microwave	go	microwave	True
FloorPlan25		pick	potato	put	microwave	False
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		put	potato	put	sinkbasin	False
FloorPlan25		go	countertop	go	window	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	potato	go	sink	False
FloorPlan25		slice	potato	go	cabinet	False
FloorPlan25		go	microwave	go	faucet	False
FloorPlan25		pick	potato	open	microwave	False
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		put	potato	put	sinkbasin	False
FloorPlan25		go	countertop	go	sink	False
FloorPlan25		pick	knife	put	countertop	False
FloorPlan25		go	potato	put	sinkbasin	False
FloorPlan25		slice	potato	slice	bread	False
FloorPlan25		go	countertop	go	sinkbasin	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	potato	put	sinkbasin	False
FloorPlan25		slice	potato	slice	potato	True
FloorPlan25		go	countertop	go	sinkbasin	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	potato	put	sinkbasin	False
FloorPlan25		slice	potato	pick	knife	False
FloorPlan25		go	countertop	go	countertop	True
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	put	sinkbasin	False
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	break	window	False
FloorPlan25		put	fork	close	drawer	False
FloorPlan25		go	countertop	go	countertop	True
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	put	sinkbasin	False
FloorPlan25		clean	fork	pick	fork	False
FloorPlan25		go	drawer	go	drawer	True
FloorPlan25		put	fork	close	drawer	False
FloorPlan25		go	countertop	go	countertop	True
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		clean	fork	pick	fork	False
FloorPlan25		go	drawer	put	countertop	False
FloorPlan25		put	fork	close	drawer	False
FloorPlan25		go	countertop	go	sinkbasin	False
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	break	window	False
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	go	countertop	False
FloorPlan25		put	fork	put	drawer	False
FloorPlan25		go	countertop	go	sinkbasin	False
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	put	sinkbasin	False
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	put	countertop	False
FloorPlan25		put	fork	put	drawer	False
FloorPlan25		go	countertop	put	countertop	False
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	put	countertop	False
FloorPlan25		put	fork	close	drawer	False
FloorPlan25		go	countertop	go	microwave	False
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	put	countertop	False
FloorPlan25		put	fork	put	drawer	False
FloorPlan25		go	countertop	go	sinkbasin	False
FloorPlan25		pick	fork	pick	fork	True
FloorPlan25		go	sinkbasin	go	sinkbasin	True
FloorPlan25		clean	fork	put	sinkbasin	False
FloorPlan25		go	drawer	put	stoveburner	False
FloorPlan25		put	fork	close	drawer	False
FloorPlan25		go	countertop	break	window	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	go	fridge	False
FloorPlan25		slice	tomato	slice	tomato	True
FloorPlan25		go	fridge	put	fridge	False
FloorPlan25		put	knife	close	fridge	False
FloorPlan25		go	fridge	slice	tomato	False
FloorPlan25		pick	tomato	pick	tomato	True
FloorPlan25		go	microwave	put	stoveburner	False
FloorPlan25		heat	tomato	cook	potato	False
FloorPlan25		go	garbagecan	go	faucet	False
FloorPlan25		put	tomato	put	garbagecan	False
FloorPlan25		go	countertop	go	faucet	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	go	fridge	False
FloorPlan25		slice	tomato	close	fridge	False
FloorPlan25		go	fridge	put	fridge	False
FloorPlan25		put	knife	put	fridge	False
FloorPlan25		go	fridge	put	fridge	False
FloorPlan25		pick	tomato	pick	tomato	True
FloorPlan25		go	microwave	put	microwave	False
FloorPlan25		heat	tomato	pick	tomato	False
FloorPlan25		go	garbagecan	put	garbagecan	False
FloorPlan25		put	tomato	put	garbagecan	False
FloorPlan25		go	countertop	go	countertop	True
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	go	window	False
FloorPlan25		slice	tomato	close	fridge	False
FloorPlan25		go	fridge	go	fridge	True
FloorPlan25		put	knife	close	fridge	False
FloorPlan25		go	fridge	put	fridge	False
FloorPlan25		pick	tomato	open	fridge	False
FloorPlan25		go	microwave	go	microwave	True
FloorPlan25		heat	tomato	go	tomato	False
FloorPlan25		go	garbagecan	go	window	False
FloorPlan25		put	tomato	put	garbagecan	False
FloorPlan25		go	countertop	go	faucet	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	go	fridge	False
FloorPlan25		slice	tomato	put	countertop	False
FloorPlan25		go	fridge	go	fridge	True
FloorPlan25		put	knife	put	countertop	False
FloorPlan25		go	fridge	go	fridge	True
FloorPlan25		pick	tomato	pick	tomato	True
FloorPlan25		go	microwave	go	microwave	True
FloorPlan25		heat	tomato	pick	tomato	False
FloorPlan25		go	garbagecan	go	garbagecan	True
FloorPlan25		put	tomato	put	garbagecan	False
FloorPlan25		go	countertop	put	countertop	False
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	put	fridge	False
FloorPlan25		slice	tomato	break	window	False
FloorPlan25		go	fridge	close	fridge	False
FloorPlan25		put	knife	close	fridge	False
FloorPlan25		go	fridge	close	fridge	False
FloorPlan25		pick	tomato	open	drawer	False
FloorPlan25		go	microwave	close	fridge	False
FloorPlan25		heat	tomato	open	fridge	False
FloorPlan25		go	garbagecan	go	window	False
FloorPlan25		put	tomato	put	garbagecan	False
FloorPlan25		go	countertop	go	countertop	True
FloorPlan25		pick	knife	pick	knife	True
FloorPlan25		go	tomato	go	fridge	False
