scene 	 instruction 	 expected_object 	 expected_affordance 	 actual_object 	 actual_affordance 	 success
FloorPlan10	walk forward then turn right stand on the left side of the trash bin	go	garbagecan	go	drawer	False
FloorPlan10	pick up the apple in the trash bin	pick	apple	pick	apple	True
FloorPlan10	turn left then turn right head to the microwave on your left	go	microwave	go	microwave	True
FloorPlan10	open the microwave put in the microwave then take it out and close the microwave	heat	apple	go	potato	False
FloorPlan10	turn left walk straight then turn left walk few step and face the trash bin	go	garbagecan	go	papertowelroll	False
FloorPlan10	put in the apple in the trash bin	put	garbagecan	put	garbagecan	True
FloorPlan10	go forward and turn to the right to face the trash can next to the counter	go	garbagecan	go	countertop	False
FloorPlan10	take the green apple on the right out of the trash can	pick	apple	pick	apple	True
FloorPlan10	turn around and go right and then turn to the left to face the microwave above the stove	go	microwave	go	papertowelroll	False
FloorPlan10	put the apple in the microwave and shut the door and then open the door and take the apple out again	heat	apple	go	apple	False
FloorPlan10	go left and then turn to the left again to face the trash can	go	garbagecan	go	countertop	False
FloorPlan10	put the apple in the trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	walk to the refrigerator turn right turn right again walk to garbage can	go	garbagecan	go	shelf	False
FloorPlan10	pick up the apple that is in the near right corner of the can	pick	apple	pick	apple	True
FloorPlan10	turn left walk to the stove turn left to face the stove	go	microwave	go	countertop	False
FloorPlan10	put the apple in the microwave heat it and take it out	heat	apple	heat	apple	True
FloorPlan10	turn left got to the end of the counter walk to the garbage can turn left to face the can	go	garbagecan	go	cabinet	False
FloorPlan10	put the apple in the garbage can to the right of the other apple	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left and move to the end of the island above the trash can	go	countertop	go	countertop	True
FloorPlan10	pick up the green apple from the counter	pick	apple	pick	apple	True
FloorPlan10	turn left and move across the room to the microwave on the left	go	microwave	go	fridge	False
FloorPlan10	warm the apple in the microwave for a few second and then take it back out	heat	apple	pick	apple	False
FloorPlan10	turn left and head back to the end of the island where the trash can is located	go	garbagecan	go	countertop	False
FloorPlan10	throw the apple into the trash can	put	garbagecan	put	garbagecan	True
FloorPlan10	turn left walk towards the counter in front of the trash bin	go	countertop	go	countertop	True
FloorPlan10	pick up the apple on the counter	pick	apple	pick	apple	True
FloorPlan10	turn left the right and head to the microwave on your left	go	microwave	go	tomato	False
FloorPlan10	open the microwave put in and out the apple then close the microwave	heat	apple	go	apple	False
FloorPlan10	turn left walk forward then turn left face the trash bin	go	garbagecan	go	drawer	False
FloorPlan10	drop the apple in the trash bin	put	garbagecan	put	garbagecan	True
FloorPlan10	turn to the left and then left again to face the trash can	go	countertop	go	fridge	False
FloorPlan10	pick up the apple from the island on the closer side	pick	apple	pick	apple	True
FloorPlan10	carry the apple and turn to the left and then right look up to the microwave	go	microwave	go	shelf	False
FloorPlan10	open the microwave and place the apple inside shut the door open the door and take out the apple shut the door	heat	apple	put	microwave	False
FloorPlan10	carry the apple and turn to the left then the left again to face the trash can	go	garbagecan	go	drawer	False
FloorPlan10	place the apple in the trash can on the floor	put	garbagecan	put	garbagecan	True
FloorPlan10	walk forward a bit to the garbage bin on your left	go	garbagecan	go	garbagecan	True
FloorPlan10	grab the apple out of the garbage bin	pick	apple	pick	apple	True
